Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"27,28,26",Penis; Prostate; Testis,266,Gabon,0,1,70,2035,131,61,87.1429,0
"27,28,26",Penis; Prostate; Testis,266,Gabon,0,1,70,2040,161,91,130,0
"27,28,26",Penis; Prostate; Testis,266,Gabon,0,1,70,2045,196,126,180,0
"27,28,26",Penis; Prostate; Testis,266,Gabon,0,1,70,2050,234,164,234.2857,0
"27,28,26",Penis; Prostate; Testis,270,The Republic of the Gambia,0,1,31,2022,31,0,0,0
"27,28,26",Penis; Prostate; Testis,270,The Republic of the Gambia,0,1,31,2025,36,5,16.129,0
"27,28,26",Penis; Prostate; Testis,270,The Republic of the Gambia,0,1,31,2030,45,14,45.1613,0
"27,28,26",Penis; Prostate; Testis,270,The Republic of the Gambia,0,1,31,2035,55,24,77.4194,0
"27,28,26",Penis; Prostate; Testis,270,The Republic of the Gambia,0,1,31,2040,69,38,122.5806,0
"27,28,26",Penis; Prostate; Testis,270,The Republic of the Gambia,0,1,31,2045,87,56,180.6452,0
"27,28,26",Penis; Prostate; Testis,270,The Republic of the Gambia,0,1,31,2050,105,74,238.7097,0
"27,28,26",Penis; Prostate; Testis,288,Ghana,0,1,1258,2022,1258,0,0,0
"27,28,26",Penis; Prostate; Testis,288,Ghana,0,1,1258,2025,1492,234,18.601,0
"27,28,26",Penis; Prostate; Testis,288,Ghana,0,1,1258,2030,1829,571,45.3895,0
"27,28,26",Penis; Prostate; Testis,288,Ghana,0,1,1258,2035,2246,988,78.5374,0
"27,28,26",Penis; Prostate; Testis,288,Ghana,0,1,1258,2040,2758,1500,119.2369,0
"27,28,26",Penis; Prostate; Testis,288,Ghana,0,1,1258,2045,3373,2115,168.124,0
"27,28,26",Penis; Prostate; Testis,288,Ghana,0,1,1258,2050,4085,2827,224.7218,0
"27,28,26",Penis; Prostate; Testis,324,Guinea,0,1,422,2022,422,0,0,0
"27,28,26",Penis; Prostate; Testis,324,Guinea,0,1,422,2025,587,165,39.0995,0
"27,28,26",Penis; Prostate; Testis,324,Guinea,0,1,422,2030,687,265,62.7962,0
"27,28,26",Penis; Prostate; Testis,324,Guinea,0,1,422,2035,813,391,92.654,0
"27,28,26",Penis; Prostate; Testis,324,Guinea,0,1,422,2040,960,538,127.4882,0
"27,28,26",Penis; Prostate; Testis,324,Guinea,0,1,422,2045,1131,709,168.0095,0
"27,28,26",Penis; Prostate; Testis,324,Guinea,0,1,422,2050,1351,929,220.1422,0
"27,28,26",Penis; Prostate; Testis,384,"C̫te d'Ivoire",0,1,2223,2022,2223,0,0,0
"27,28,26",Penis; Prostate; Testis,384,"C̫te d'Ivoire",0,1,2223,2025,2024,-199,-8.9519,0
"27,28,26",Penis; Prostate; Testis,384,"C̫te d'Ivoire",0,1,2223,2030,2465,242,10.8862,0
"27,28,26",Penis; Prostate; Testis,384,"C̫te d'Ivoire",0,1,2223,2035,3071,848,38.1466,0
"27,28,26",Penis; Prostate; Testis,384,"C̫te d'Ivoire",0,1,2223,2040,3845,1622,72.9645,0
"27,28,26",Penis; Prostate; Testis,384,"C̫te d'Ivoire",0,1,2223,2045,4730,2507,112.7755,0
"27,28,26",Penis; Prostate; Testis,384,"C̫te d'Ivoire",0,1,2223,2050,5676,3453,155.3306,0
"27,28,26",Penis; Prostate; Testis,404,Kenya,0,1,2062,2022,2062,0,0,0
"27,28,26",Penis; Prostate; Testis,404,Kenya,0,1,2062,2025,2686,624,30.2619,0
"27,28,26",Penis; Prostate; Testis,404,Kenya,0,1,2062,2030,3336,1274,61.7847,0
"27,28,26",Penis; Prostate; Testis,404,Kenya,0,1,2062,2035,4149,2087,101.2124,0
"27,28,26",Penis; Prostate; Testis,404,Kenya,0,1,2062,2040,5155,3093,150,0
"27,28,26",Penis; Prostate; Testis,404,Kenya,0,1,2062,2045,6407,4345,210.7177,0
"27,28,26",Penis; Prostate; Testis,404,Kenya,0,1,2062,2050,7841,5779,280.2619,0
"27,28,26",Penis; Prostate; Testis,426,Lesotho,0,1,113,2022,113,0,0,0
"27,28,26",Penis; Prostate; Testis,426,Lesotho,0,1,113,2025,115,2,1.7699,0
"27,28,26",Penis; Prostate; Testis,426,Lesotho,0,1,113,2030,125,12,10.6195,0
"27,28,26",Penis; Prostate; Testis,426,Lesotho,0,1,113,2035,140,27,23.8938,0
"27,28,26",Penis; Prostate; Testis,426,Lesotho,0,1,113,2040,157,44,38.9381,0
"27,28,26",Penis; Prostate; Testis,426,Lesotho,0,1,113,2045,179,66,58.4071,0
"27,28,26",Penis; Prostate; Testis,426,Lesotho,0,1,113,2050,205,92,81.4159,0
"27,28,26",Penis; Prostate; Testis,430,Liberia,0,1,259,2022,259,0,0,0
"27,28,26",Penis; Prostate; Testis,430,Liberia,0,1,259,2025,268,9,3.4749,0
"27,28,26",Penis; Prostate; Testis,430,Liberia,0,1,259,2030,312,53,20.4633,0
"27,28,26",Penis; Prostate; Testis,430,Liberia,0,1,259,2035,372,113,43.6293,0
"27,28,26",Penis; Prostate; Testis,430,Liberia,0,1,259,2040,450,191,73.7452,0
"27,28,26",Penis; Prostate; Testis,430,Liberia,0,1,259,2045,544,285,110.0386,0
"27,28,26",Penis; Prostate; Testis,430,Liberia,0,1,259,2050,649,390,150.5792,0
"27,28,26",Penis; Prostate; Testis,434,Libya,0,1,189,2022,189,0,0,0
"27,28,26",Penis; Prostate; Testis,434,Libya,0,1,189,2025,214,25,13.2275,0
"27,28,26",Penis; Prostate; Testis,434,Libya,0,1,189,2030,249,60,31.746,0
"27,28,26",Penis; Prostate; Testis,434,Libya,0,1,189,2035,318,129,68.254,0
"27,28,26",Penis; Prostate; Testis,434,Libya,0,1,189,2040,434,245,129.6296,0
